rosewater f0d4d3
flamingo ea9a97
pink d97cbf
mauve c4a7e7
red eb6f92
maroon e891aa
peach e8a992
yellow f6c177
green 8fdbab
teal 90d5c2
sky 9ccfd8
sapphire 3e8fb0
blue 6f81d5
lavender a9a7e7
text e0def4
subtext1 908caa
subtext0 6e6a86
overlay2 635f7a
overlay1 555268
overlay0 49475a
surface2 312f47
surface1 2b283b
surface0 2a273f
base 232136
mantle 201e30
crust 1d1b2c
success 8fdbab
primary_paletteKeyColor 7670AC
secondary_paletteKeyColor 77748B
tertiary_paletteKeyColor 966B7F
neutral_paletteKeyColor 78767D
neutral_variant_paletteKeyColor 787680
background 131318
onBackground E5E1E9
surface 131318
surfaceDim 131318
surfaceBright 3A383E
surfaceContainerLowest 0E0E13
surfaceContainerLow 1C1B20
surfaceContainer 201F25
surfaceContainerHigh 2A292F
surfaceContainerHighest 35343A
onSurface E5E1E9
surfaceVariant 47464F
onSurfaceVariant C9C5D0
inverseSurface E5E1E9
inverseOnSurface 313036
outline 928F99
outlineVariant 47464F
shadow 000000
scrim 000000
surfaceTint C6BFFF
primary C6BFFF
onPrimary 2E295F
primaryContainer 454077
onPrimaryContainer E4DFFF
inversePrimary 5D5791
secondary C8C3DC
onSecondary 302E41
secondaryContainer 474459
onSecondaryContainer E4DFF9
tertiary EBB8CF
onTertiary 482537
tertiaryContainer B28499
onTertiaryContainer 000000
error FFB4AB
onError 690005
errorContainer 93000A
onErrorContainer FFDAD6
primaryFixed E4DFFF
primaryFixedDim C6BFFF
onPrimaryFixed 19124A
onPrimaryFixedVariant 454077
secondaryFixed E4DFF9
secondaryFixedDim C8C3DC
onSecondaryFixed 1B192C
onSecondaryFixedVariant 474459
tertiaryFixed FFD8E8
tertiaryFixedDim EBB8CF
onTertiaryFixed 301122
onTertiaryFixedVariant 613B4E
success B5CCBA
onSuccess 213528
successContainer 374B3E
onSuccessContainer D1E9D6
