rosewater e8bcb6
flamingo c59e9d
pink d24cce
mauve b16286
red cc241d
maroon fb4934
peach fe8019
yellow fabd2f
green b8bb26
teal 8ec07c
sky 9bcccb
sapphire 4191b1
blue 83a598
lavender a378cb
text fbf1c7
subtext1 d5c4a1
subtext0 bdae93
overlay2 a89984
overlay1 928374
overlay0 7c6f64
surface2 665c54
surface1 504945
surface0 3c3836
base 32302f
mantle 282828
crust 1f2122
success b8bb26
primary_paletteKeyColor A46A32
secondary_paletteKeyColor 8E725A
tertiary_paletteKeyColor 737B4E
neutral_paletteKeyColor 81756D
neutral_variant_paletteKeyColor 837469
background 19120C
onBackground EFE0D5
surface 19120C
surfaceDim 19120C
surfaceBright 413730
surfaceContainerLowest 130D07
surfaceContainerLow 221A14
surfaceContainer 261E18
surfaceContainerHigh 312822
surfaceContainerHighest 3C332C
onSurface EFE0D5
surfaceVariant 51443A
onSurfaceVariant D6C3B6
inverseSurface EFE0D5
inverseOnSurface 372F28
outline 9E8E82
outlineVariant 51443A
shadow 000000
scrim 000000
surfaceTint FFB878
primary FFB878
onPrimary 4C2700
primaryContainer 6B3B03
onPrimaryContainer FFDCC1
inversePrimary 87521B
secondary E2C0A5
onSecondary 412C19
secondaryContainer 5A422D
onSecondaryContainer FFDCC1
tertiary C2CB98
onTertiary 2C340E
tertiaryContainer 8D9566
onTertiaryContainer 000000
error FFB4AB
onError 690005
errorContainer 93000A
onErrorContainer FFDAD6
primaryFixed FFDCC1
primaryFixedDim FFB878
onPrimaryFixed 2E1600
onPrimaryFixedVariant 6B3B03
secondaryFixed FFDCC1
secondaryFixedDim E2C0A5
onSecondaryFixed 2A1706
onSecondaryFixedVariant 5A422D
tertiaryFixed DFE8B2
tertiaryFixedDim C2CB98
onTertiaryFixed 181E00
onTertiaryFixedVariant 434A23
